Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,58.400000
randomdigit,doubleconv,2,66.900000
randomdigit,doubleconv,3,71.000000
randomdigit,doubleconv,4,75.700000
randomdigit,doubleconv,5,79.600000
randomdigit,doubleconv,6,84.400000
randomdigit,doubleconv,7,84.100000
randomdigit,doubleconv,8,88.100000
randomdigit,doubleconv,9,88.700000
randomdigit,doubleconv,10,91.000000
randomdigit,doubleconv,11,88.800000
randomdigit,doubleconv,12,97.200000
randomdigit,doubleconv,13,94.300000
randomdigit,doubleconv,14,103.500000
randomdigit,doubleconv,15,101.600000
randomdigit,doubleconv,16,105.800000
randomdigit,doubleconv,17,111.100000
randomdigit,sprintf,1,596.300000
randomdigit,sprintf,2,607.400000
randomdigit,sprintf,3,636.900000
randomdigit,sprintf,4,634.700000
randomdigit,sprintf,5,642.900000
randomdigit,sprintf,6,656.600000
randomdigit,sprintf,7,674.600000
randomdigit,sprintf,8,669.000000
randomdigit,sprintf,9,668.400000
randomdigit,sprintf,10,681.600000
randomdigit,sprintf,11,708.700000
randomdigit,sprintf,12,700.800000
randomdigit,sprintf,13,713.200000
randomdigit,sprintf,14,701.000000
randomdigit,sprintf,15,737.100000
randomdigit,sprintf,16,720.000000
randomdigit,sprintf,17,736.900000
randomdigit,fpconv,1,87.800000
randomdigit,fpconv,2,98.700000
randomdigit,fpconv,3,107.100000
randomdigit,fpconv,4,113.900000
randomdigit,fpconv,5,120.700000
randomdigit,fpconv,6,124.800000
randomdigit,fpconv,7,129.700000
randomdigit,fpconv,8,133.100000
randomdigit,fpconv,9,136.000000
randomdigit,fpconv,10,137.200000
randomdigit,fpconv,11,139.800000
randomdigit,fpconv,12,141.800000
randomdigit,fpconv,13,143.000000
randomdigit,fpconv,14,145.600000
randomdigit,fpconv,15,147.200000
randomdigit,fpconv,16,151.500000
randomdigit,fpconv,17,158.100000
randomdigit,ostrstream,1,873.300000
randomdigit,ostrstream,2,885.900000
randomdigit,ostrstream,3,915.600000
randomdigit,ostrstream,4,912.800000
randomdigit,ostrstream,5,920.300000
randomdigit,ostrstream,6,934.900000
randomdigit,ostrstream,7,951.200000
randomdigit,ostrstream,8,946.600000
randomdigit,ostrstream,9,946.500000
randomdigit,ostrstream,10,959.500000
randomdigit,ostrstream,11,988.800000
randomdigit,ostrstream,12,981.000000
randomdigit,ostrstream,13,994.500000
randomdigit,ostrstream,14,980.900000
randomdigit,ostrstream,15,1015.700000
randomdigit,ostrstream,16,996.000000
randomdigit,ostrstream,17,1011.300000
randomdigit,null,1,1.200000
randomdigit,null,2,1.100000
randomdigit,null,3,1.200000
randomdigit,null,4,1.200000
randomdigit,null,5,1.200000
randomdigit,null,6,1.100000
randomdigit,null,7,1.100000
randomdigit,null,8,1.200000
randomdigit,null,9,1.100000
randomdigit,null,10,1.100000
randomdigit,null,11,1.200000
randomdigit,null,12,1.200000
randomdigit,null,13,1.200000
randomdigit,null,14,1.200000
randomdigit,null,15,1.100000
randomdigit,null,16,1.100000
randomdigit,null,17,1.200000
randomdigit,grisu2,1,94.300000
randomdigit,grisu2,2,103.200000
randomdigit,grisu2,3,103.700000
randomdigit,grisu2,4,104.300000
randomdigit,grisu2,5,105.500000
randomdigit,grisu2,6,107.800000
randomdigit,grisu2,7,109.100000
randomdigit,grisu2,8,111.600000
randomdigit,grisu2,9,114.100000
randomdigit,grisu2,10,116.100000
randomdigit,grisu2,11,118.000000
randomdigit,grisu2,12,120.300000
randomdigit,grisu2,13,121.600000
randomdigit,grisu2,14,124.100000
randomdigit,grisu2,15,127.100000
randomdigit,grisu2,16,130.000000
randomdigit,grisu2,17,134.700000
randomdigit,ostringstream,1,1013.800000
randomdigit,ostringstream,2,1024.600000
randomdigit,ostringstream,3,1052.700000
randomdigit,ostringstream,4,1049.800000
randomdigit,ostringstream,5,1056.400000
randomdigit,ostringstream,6,1071.300000
randomdigit,ostringstream,7,1089.200000
randomdigit,ostringstream,8,1086.800000
randomdigit,ostringstream,9,1092.000000
randomdigit,ostringstream,10,1120.800000
randomdigit,ostringstream,11,1153.400000
randomdigit,ostringstream,12,1147.700000
randomdigit,ostringstream,13,1160.900000
randomdigit,ostringstream,14,1147.500000
randomdigit,ostringstream,15,1183.900000
randomdigit,ostringstream,16,1164.200000
randomdigit,ostringstream,17,1179.700000
randomdigit,emyg,1,27.200000
randomdigit,emyg,2,33.800000
randomdigit,emyg,3,37.400000
randomdigit,emyg,4,39.900000
randomdigit,emyg,5,40.800000
randomdigit,emyg,6,43.200000
randomdigit,emyg,7,44.400000
randomdigit,emyg,8,45.500000
randomdigit,emyg,9,48.200000
randomdigit,emyg,10,49.500000
randomdigit,emyg,11,51.900000
randomdigit,emyg,12,53.000000
randomdigit,emyg,13,54.600000
randomdigit,emyg,14,55.400000
randomdigit,emyg,15,57.200000
randomdigit,emyg,16,59.100000
randomdigit,emyg,17,62.900000
randomdigit,milo,1,27.300000
randomdigit,milo,2,33.800000
randomdigit,milo,3,37.000000
randomdigit,milo,4,39.100000
randomdigit,milo,5,41.100000
randomdigit,milo,6,42.600000
randomdigit,milo,7,43.700000
randomdigit,milo,8,44.700000
randomdigit,milo,9,46.700000
randomdigit,milo,10,48.100000
randomdigit,milo,11,49.300000
randomdigit,milo,12,50.800000
randomdigit,milo,13,51.200000
randomdigit,milo,14,51.900000
randomdigit,milo,15,52.800000
randomdigit,milo,16,53.300000
randomdigit,milo,17,57.300000
