doubleype,Function,Digit,doubleime(ms)
randomdigit,doubleconv,1,217.500000
randomdigit,doubleconv,2,253.400000
randomdigit,doubleconv,3,255.000000
randomdigit,doubleconv,4,272.500000
randomdigit,doubleconv,5,300.800000
randomdigit,doubleconv,6,314.900000
randomdigit,doubleconv,7,318.700000
randomdigit,doubleconv,8,337.800000
randomdigit,doubleconv,9,348.800000
randomdigit,doubleconv,10,355.300000
randomdigit,doubleconv,11,349.900000
randomdigit,doubleconv,12,377.500000
randomdigit,doubleconv,13,377.500000
randomdigit,doubleconv,14,404.500000
randomdigit,doubleconv,15,406.900000
randomdigit,doubleconv,16,421.000000
randomdigit,doubleconv,17,439.500000
randomdigit,fpconv,1,221.500000
randomdigit,fpconv,2,245.900000
randomdigit,fpconv,3,263.400000
randomdigit,fpconv,4,292.000000
randomdigit,fpconv,5,322.400000
randomdigit,fpconv,6,337.300000
randomdigit,fpconv,7,347.600000
randomdigit,fpconv,8,360.400000
randomdigit,fpconv,9,368.300000
randomdigit,fpconv,10,370.400000
randomdigit,fpconv,11,376.600000
randomdigit,fpconv,12,381.900000
randomdigit,fpconv,13,385.600000
randomdigit,fpconv,14,393.500000
randomdigit,fpconv,15,398.800000
randomdigit,fpconv,16,409.100000
randomdigit,fpconv,17,419.300000
randomdigit,grisu2,1,259.000000
randomdigit,grisu2,2,285.200000
randomdigit,grisu2,3,327.000000
randomdigit,grisu2,4,340.400000
randomdigit,grisu2,5,368.400000
randomdigit,grisu2,6,381.500000
randomdigit,grisu2,7,394.300000
randomdigit,grisu2,8,404.600000
randomdigit,grisu2,9,419.300000
randomdigit,grisu2,10,424.600000
randomdigit,grisu2,11,429.400000
randomdigit,grisu2,12,440.500000
randomdigit,grisu2,13,449.500000
randomdigit,grisu2,14,461.600000
randomdigit,grisu2,15,469.700000
randomdigit,grisu2,16,484.200000
randomdigit,grisu2,17,497.700000
randomdigit,milo,1,114.300000
randomdigit,milo,2,134.800000
randomdigit,milo,3,168.300000
randomdigit,milo,4,179.900000
randomdigit,milo,5,204.000000
randomdigit,milo,6,218.700000
randomdigit,milo,7,229.500000
randomdigit,milo,8,238.900000
randomdigit,milo,9,247.600000
randomdigit,milo,10,253.100000
randomdigit,milo,11,261.000000
randomdigit,milo,12,268.600000
randomdigit,milo,13,278.200000
randomdigit,milo,14,290.100000
randomdigit,milo,15,296.700000
randomdigit,milo,16,306.800000
randomdigit,milo,17,312.700000
randomdigit,null,1,2.200000
randomdigit,null,2,2.200000
randomdigit,null,3,2.300000
randomdigit,null,4,2.200000
randomdigit,null,5,2.100000
randomdigit,null,6,2.400000
randomdigit,null,7,2.300000
randomdigit,null,8,2.200000
randomdigit,null,9,2.100000
randomdigit,null,10,2.400000
randomdigit,null,11,2.100000
randomdigit,null,12,2.200000
randomdigit,null,13,2.500000
randomdigit,null,14,2.500000
randomdigit,null,15,2.500000
randomdigit,null,16,2.500000
randomdigit,null,17,2.600000
randomdigit,ostringstream,1,27840.700000
randomdigit,ostringstream,2,27928.600000
randomdigit,ostringstream,3,28415.000000
randomdigit,ostringstream,4,28211.500000
randomdigit,ostringstream,5,28691.500000
randomdigit,ostringstream,6,28965.700000
randomdigit,ostringstream,7,28937.600000
randomdigit,ostringstream,8,29289.700000
randomdigit,ostringstream,9,29239.700000
randomdigit,ostringstream,10,29659.600000
randomdigit,ostringstream,11,29692.500000
randomdigit,ostringstream,12,29940.400000
randomdigit,ostringstream,13,30202.200000
randomdigit,ostringstream,14,30140.400000
randomdigit,ostringstream,15,30338.200000
randomdigit,ostringstream,16,30254.900000
randomdigit,ostringstream,17,30279.500000
randomdigit,ostrstream,1,27103.500000
randomdigit,ostrstream,2,27230.500000
randomdigit,ostrstream,3,27809.600000
randomdigit,ostrstream,4,27574.000000
randomdigit,ostrstream,5,28044.000000
randomdigit,ostrstream,6,28292.300000
randomdigit,ostrstream,7,28185.000000
randomdigit,ostrstream,8,28582.500000
randomdigit,ostrstream,9,28547.400000
randomdigit,ostrstream,10,28943.300000
randomdigit,ostrstream,11,29040.900000
randomdigit,ostrstream,12,29305.700000
randomdigit,ostrstream,13,29507.500000
randomdigit,ostrstream,14,29456.500000
randomdigit,ostrstream,15,29713.700000
randomdigit,ostrstream,16,29629.600000
randomdigit,ostrstream,17,29580.100000
randomdigit,sprintf,1,25700.900000
randomdigit,sprintf,2,25767.000000
randomdigit,sprintf,3,26311.900000
randomdigit,sprintf,4,26091.100000
randomdigit,sprintf,5,26613.200000
randomdigit,sprintf,6,26876.000000
randomdigit,sprintf,7,26786.200000
randomdigit,sprintf,8,27164.700000
randomdigit,sprintf,9,27181.100000
randomdigit,sprintf,10,27593.100000
randomdigit,sprintf,11,27558.300000
randomdigit,sprintf,12,27812.000000
randomdigit,sprintf,13,28046.200000
randomdigit,sprintf,14,28046.600000
randomdigit,sprintf,15,28203.700000
randomdigit,sprintf,16,28172.700000
randomdigit,sprintf,17,28161.400000
