Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,78.700000
randomdigit,doubleconv,2,91.500000
randomdigit,doubleconv,3,95.500000
randomdigit,doubleconv,4,102.700000
randomdigit,doubleconv,5,108.700000
randomdigit,doubleconv,6,115.900000
randomdigit,doubleconv,7,120.100000
randomdigit,doubleconv,8,119.200000
randomdigit,doubleconv,9,123.000000
randomdigit,doubleconv,10,123.700000
randomdigit,doubleconv,11,126.700000
randomdigit,doubleconv,12,126.000000
randomdigit,doubleconv,13,132.900000
randomdigit,doubleconv,14,135.400000
randomdigit,doubleconv,15,135.300000
randomdigit,doubleconv,16,135.000000
randomdigit,doubleconv,17,150.700000
randomdigit,emyg,1,42.200000
randomdigit,emyg,2,49.800000
randomdigit,emyg,3,53.800000
randomdigit,emyg,4,56.100000
randomdigit,emyg,5,59.400000
randomdigit,emyg,6,61.100000
randomdigit,emyg,7,62.700000
randomdigit,emyg,8,63.900000
randomdigit,emyg,9,66.000000
randomdigit,emyg,10,66.300000
randomdigit,emyg,11,68.300000
randomdigit,emyg,12,69.000000
randomdigit,emyg,13,69.600000
randomdigit,emyg,14,71.400000
randomdigit,emyg,15,72.100000
randomdigit,emyg,16,73.500000
randomdigit,emyg,17,77.800000
randomdigit,erthink,1,25.900000
randomdigit,erthink,2,28.300000
randomdigit,erthink,3,31.400000
randomdigit,erthink,4,34.800000
randomdigit,erthink,5,37.900000
randomdigit,erthink,6,41.100000
randomdigit,erthink,7,43.600000
randomdigit,erthink,8,44.800000
randomdigit,erthink,9,46.800000
randomdigit,erthink,10,48.300000
randomdigit,erthink,11,49.600000
randomdigit,erthink,12,51.200000
randomdigit,erthink,13,52.100000
randomdigit,erthink,14,53.600000
randomdigit,erthink,15,54.900000
randomdigit,erthink,16,57.000000
randomdigit,erthink,17,62.800000
randomdigit,floaxie,1,27.400000
randomdigit,floaxie,2,33.400000
randomdigit,floaxie,3,38.100000
randomdigit,floaxie,4,43.700000
randomdigit,floaxie,5,49.600000
randomdigit,floaxie,6,55.900000
randomdigit,floaxie,7,63.600000
randomdigit,floaxie,8,71.000000
randomdigit,floaxie,9,77.600000
randomdigit,floaxie,10,80.600000
randomdigit,floaxie,11,83.300000
randomdigit,floaxie,12,86.700000
randomdigit,floaxie,13,89.600000
randomdigit,floaxie,14,91.300000
randomdigit,floaxie,15,94.300000
randomdigit,floaxie,16,96.700000
randomdigit,floaxie,17,98.200000
randomdigit,fmt,1,97.300000
randomdigit,fmt,2,106.200000
randomdigit,fmt,3,109.800000
randomdigit,fmt,4,113.500000
randomdigit,fmt,5,115.100000
randomdigit,fmt,6,118.300000
randomdigit,fmt,7,122.300000
randomdigit,fmt,8,124.700000
randomdigit,fmt,9,127.000000
randomdigit,fmt,10,129.700000
randomdigit,fmt,11,131.500000
randomdigit,fmt,12,133.900000
randomdigit,fmt,13,136.000000
randomdigit,fmt,14,138.700000
randomdigit,fmt,15,140.300000
randomdigit,fmt,16,141.800000
randomdigit,fmt,17,151.500000
randomdigit,fpconv,1,107.100000
randomdigit,fpconv,2,119.400000
randomdigit,fpconv,3,129.700000
randomdigit,fpconv,4,136.800000
randomdigit,fpconv,5,144.000000
randomdigit,fpconv,6,149.800000
randomdigit,fpconv,7,154.400000
randomdigit,fpconv,8,157.500000
randomdigit,fpconv,9,160.400000
randomdigit,fpconv,10,161.900000
randomdigit,fpconv,11,163.600000
randomdigit,fpconv,12,165.500000
randomdigit,fpconv,13,167.600000
randomdigit,fpconv,14,170.800000
randomdigit,fpconv,15,171.300000
randomdigit,fpconv,16,173.100000
randomdigit,fpconv,17,178.600000
randomdigit,grisu2,1,73.400000
randomdigit,grisu2,2,75.200000
randomdigit,grisu2,3,78.400000
randomdigit,grisu2,4,80.600000
randomdigit,grisu2,5,82.800000
randomdigit,grisu2,6,84.300000
randomdigit,grisu2,7,86.000000
randomdigit,grisu2,8,88.100000
randomdigit,grisu2,9,89.800000
randomdigit,grisu2,10,91.700000
randomdigit,grisu2,11,93.800000
randomdigit,grisu2,12,95.700000
randomdigit,grisu2,13,98.200000
randomdigit,grisu2,14,99.500000
randomdigit,grisu2,15,101.600000
randomdigit,grisu2,16,103.600000
randomdigit,grisu2,17,109.300000
randomdigit,milo,1,42.700000
randomdigit,milo,2,49.600000
randomdigit,milo,3,53.400000
randomdigit,milo,4,56.000000
randomdigit,milo,5,59.100000
randomdigit,milo,6,60.700000
randomdigit,milo,7,62.600000
randomdigit,milo,8,64.100000
randomdigit,milo,9,65.800000
randomdigit,milo,10,66.800000
randomdigit,milo,11,68.200000
randomdigit,milo,12,69.000000
randomdigit,milo,13,69.600000
randomdigit,milo,14,71.800000
randomdigit,milo,15,71.800000
randomdigit,milo,16,73.700000
randomdigit,milo,17,78.100000
randomdigit,ryu,1,69.500000
randomdigit,ryu,2,70.100000
randomdigit,ryu,3,67.700000
randomdigit,ryu,4,65.700000
randomdigit,ryu,5,65.600000
randomdigit,ryu,6,64.700000
randomdigit,ryu,7,63.100000
randomdigit,ryu,8,61.600000
randomdigit,ryu,9,60.100000
randomdigit,ryu,10,60.300000
randomdigit,ryu,11,57.200000
randomdigit,ryu,12,54.400000
randomdigit,ryu,13,53.600000
randomdigit,ryu,14,50.800000
randomdigit,ryu,15,50.500000
randomdigit,ryu,16,48.000000
randomdigit,ryu,17,47.100000
randomdigit,sprintf,1,826.000000
randomdigit,sprintf,2,837.400000
randomdigit,sprintf,3,845.300000
randomdigit,sprintf,4,853.900000
randomdigit,sprintf,5,858.900000
randomdigit,sprintf,6,876.400000
randomdigit,sprintf,7,896.200000
randomdigit,sprintf,8,896.400000
randomdigit,sprintf,9,905.300000
randomdigit,sprintf,10,916.200000
randomdigit,sprintf,11,933.200000
randomdigit,sprintf,12,935.100000
randomdigit,sprintf,13,949.700000
randomdigit,sprintf,14,953.900000
randomdigit,sprintf,15,968.100000
randomdigit,sprintf,16,942.800000
randomdigit,sprintf,17,958.400000
