Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,69.700000
randomdigit,doubleconv,2,76.800000
randomdigit,doubleconv,3,80.700000
randomdigit,doubleconv,4,87.100000
randomdigit,doubleconv,5,95.200000
randomdigit,doubleconv,6,98.800000
randomdigit,doubleconv,7,102.500000
randomdigit,doubleconv,8,99.900000
randomdigit,doubleconv,9,103.800000
randomdigit,doubleconv,10,103.800000
randomdigit,doubleconv,11,107.300000
randomdigit,doubleconv,12,110.500000
randomdigit,doubleconv,13,113.700000
randomdigit,doubleconv,14,116.100000
randomdigit,doubleconv,15,116.000000
randomdigit,doubleconv,16,115.500000
randomdigit,doubleconv,17,134.000000
randomdigit,emyg,1,38.100000
randomdigit,emyg,2,46.500000
randomdigit,emyg,3,52.300000
randomdigit,emyg,4,51.500000
randomdigit,emyg,5,55.100000
randomdigit,emyg,6,55.600000
randomdigit,emyg,7,57.000000
randomdigit,emyg,8,58.200000
randomdigit,emyg,9,59.400000
randomdigit,emyg,10,60.100000
randomdigit,emyg,11,61.500000
randomdigit,emyg,12,62.200000
randomdigit,emyg,13,63.000000
randomdigit,emyg,14,63.600000
randomdigit,emyg,15,64.200000
randomdigit,emyg,16,65.200000
randomdigit,emyg,17,69.700000
randomdigit,erthink,1,22.200000
randomdigit,erthink,2,21.400000
randomdigit,erthink,3,25.500000
randomdigit,erthink,4,27.600000
randomdigit,erthink,5,27.900000
randomdigit,erthink,6,31.400000
randomdigit,erthink,7,32.900000
randomdigit,erthink,8,33.700000
randomdigit,erthink,9,33.200000
randomdigit,erthink,10,33.800000
randomdigit,erthink,11,35.000000
randomdigit,erthink,12,35.900000
randomdigit,erthink,13,36.800000
randomdigit,erthink,14,38.000000
randomdigit,erthink,15,38.900000
randomdigit,erthink,16,40.000000
randomdigit,erthink,17,43.900000
randomdigit,floaxie,1,24.500000
randomdigit,floaxie,2,27.900000
randomdigit,floaxie,3,33.800000
randomdigit,floaxie,4,37.700000
randomdigit,floaxie,5,43.900000
randomdigit,floaxie,6,51.000000
randomdigit,floaxie,7,58.200000
randomdigit,floaxie,8,64.800000
randomdigit,floaxie,9,71.300000
randomdigit,floaxie,10,74.800000
randomdigit,floaxie,11,76.900000
randomdigit,floaxie,12,81.400000
randomdigit,floaxie,13,84.600000
randomdigit,floaxie,14,86.600000
randomdigit,floaxie,15,88.800000
randomdigit,floaxie,16,91.200000
randomdigit,floaxie,17,92.400000
randomdigit,fmt,1,75.300000
randomdigit,fmt,2,84.200000
randomdigit,fmt,3,86.700000
randomdigit,fmt,4,89.600000
randomdigit,fmt,5,92.700000
randomdigit,fmt,6,95.300000
randomdigit,fmt,7,97.600000
randomdigit,fmt,8,97.600000
randomdigit,fmt,9,101.400000
randomdigit,fmt,10,102.100000
randomdigit,fmt,11,106.500000
randomdigit,fmt,12,105.500000
randomdigit,fmt,13,111.000000
randomdigit,fmt,14,112.500000
randomdigit,fmt,15,111.900000
randomdigit,fmt,16,111.500000
randomdigit,fmt,17,130.800000
randomdigit,fpconv,1,102.600000
randomdigit,fpconv,2,113.700000
randomdigit,fpconv,3,123.700000
randomdigit,fpconv,4,128.800000
randomdigit,fpconv,5,134.900000
randomdigit,fpconv,6,139.700000
randomdigit,fpconv,7,145.400000
randomdigit,fpconv,8,147.600000
randomdigit,fpconv,9,150.300000
randomdigit,fpconv,10,151.800000
randomdigit,fpconv,11,153.300000
randomdigit,fpconv,12,155.100000
randomdigit,fpconv,13,157.100000
randomdigit,fpconv,14,160.700000
randomdigit,fpconv,15,160.100000
randomdigit,fpconv,16,161.900000
randomdigit,fpconv,17,167.500000
randomdigit,grisu2,1,101.600000
randomdigit,grisu2,2,110.600000
randomdigit,grisu2,3,106.100000
randomdigit,grisu2,4,106.900000
randomdigit,grisu2,5,112.200000
randomdigit,grisu2,6,110.800000
randomdigit,grisu2,7,113.400000
randomdigit,grisu2,8,115.600000
randomdigit,grisu2,9,118.000000
randomdigit,grisu2,10,120.400000
randomdigit,grisu2,11,122.900000
randomdigit,grisu2,12,124.800000
randomdigit,grisu2,13,126.900000
randomdigit,grisu2,14,128.300000
randomdigit,grisu2,15,130.500000
randomdigit,grisu2,16,137.800000
randomdigit,grisu2,17,137.500000
randomdigit,milo,1,37.800000
randomdigit,milo,2,48.900000
randomdigit,milo,3,50.100000
randomdigit,milo,4,52.400000
randomdigit,milo,5,56.200000
randomdigit,milo,6,57.800000
randomdigit,milo,7,58.900000
randomdigit,milo,8,60.200000
randomdigit,milo,9,61.300000
