Type,Function,Digit,Time(ns)
sequential,doubleconv,1,53.700000
sequential,doubleconv,2,58.600000
sequential,doubleconv,3,64.300000
sequential,doubleconv,4,70.900000
sequential,doubleconv,5,72.700000
sequential,doubleconv,6,59.400000
sequential,doubleconv,7,59.000000
sequential,doubleconv,8,70.400000
sequential,doubleconv,9,70.400000
sequential,doubleconv,10,76.400000
sequential,doubleconv,11,84.600000
sequential,doubleconv,12,92.100000
sequential,doubleconv,13,98.700000
sequential,doubleconv,14,75.900000
sequential,doubleconv,15,75.900000
sequential,doubleconv,16,86.200000
sequential,doubleconv,17,86.200000
sequential,emyg,1,21.000000
sequential,emyg,2,25.000000
sequential,emyg,3,27.800000
sequential,emyg,4,30.300000
sequential,emyg,5,31.000000
sequential,emyg,6,26.800000
sequential,emyg,7,27.100000
sequential,emyg,8,32.000000
sequential,emyg,9,32.400000
sequential,emyg,10,35.100000
sequential,emyg,11,37.700000
sequential,emyg,12,41.100000
sequential,emyg,13,44.500000
sequential,emyg,14,36.400000
sequential,emyg,15,36.400000
sequential,emyg,16,42.700000
sequential,emyg,17,42.700000
sequential,erthink,1,17.900000
sequential,erthink,2,20.700000
sequential,erthink,3,24.000000
sequential,erthink,4,26.600000
sequential,erthink,5,27.600000
sequential,erthink,6,23.600000
sequential,erthink,7,23.800000
sequential,erthink,8,27.900000
sequential,erthink,9,27.900000
sequential,erthink,10,33.400000
sequential,erthink,11,36.500000
sequential,erthink,12,40.200000
sequential,erthink,13,44.400000
sequential,erthink,14,32.100000
sequential,erthink,15,32.100000
sequential,erthink,16,38.000000
sequential,erthink,17,38.100000
sequential,floaxie,1,32.600000
sequential,floaxie,2,36.800000
sequential,floaxie,3,42.200000
sequential,floaxie,4,48.900000
sequential,floaxie,5,50.500000
sequential,floaxie,6,52.100000
sequential,floaxie,7,56.400000
sequential,floaxie,8,69.400000
sequential,floaxie,9,70.600000
sequential,floaxie,10,77.600000
sequential,floaxie,11,84.200000
sequential,floaxie,12,85.400000
sequential,floaxie,13,86.500000
sequential,floaxie,14,88.400000
sequential,floaxie,15,91.000000
sequential,floaxie,16,89.100000
sequential,floaxie,17,82.700000
sequential,fmt,1,84.400000
sequential,fmt,2,86.300000
sequential,fmt,3,89.000000
sequential,fmt,4,92.000000
sequential,fmt,5,93.100000
sequential,fmt,6,93.300000
sequential,fmt,7,94.800000
sequential,fmt,8,98.700000
sequential,fmt,9,100.100000
sequential,fmt,10,104.600000
sequential,fmt,11,105.900000
sequential,fmt,12,111.100000
sequential,fmt,13,115.900000
sequential,fmt,14,105.900000
sequential,fmt,15,106.200000
sequential,fmt,16,114.000000
sequential,fmt,17,115.500000
sequential,fpconv,1,88.700000
sequential,fpconv,2,89.000000
sequential,fpconv,3,89.600000
sequential,fpconv,4,90.700000
sequential,fpconv,5,90.900000
sequential,fpconv,6,91.000000
sequential,fpconv,7,91.400000
sequential,fpconv,8,140.100000
sequential,fpconv,9,141.400000
sequential,fpconv,10,140.600000
sequential,fpconv,11,142.500000
sequential,fpconv,12,143.700000
sequential,fpconv,13,145.300000
sequential,fpconv,14,145.800000
sequential,fpconv,15,146.400000
sequential,fpconv,16,155.300000
sequential,fpconv,17,155.200000
sequential,grisu2,1,54.900000
sequential,grisu2,2,55.800000
sequential,grisu2,3,57.600000
sequential,grisu2,4,60.500000
sequential,grisu2,5,60.900000
sequential,grisu2,6,61.200000
sequential,grisu2,7,62.600000
sequential,grisu2,8,65.400000
sequential,grisu2,9,65.500000
sequential,grisu2,10,67.800000
sequential,grisu2,11,69.700000
sequential,grisu2,12,70.500000
sequential,grisu2,13,72.600000
sequential,grisu2,14,75.500000
sequential,grisu2,15,76.200000
sequential,grisu2,16,80.300000
sequential,grisu2,17,80.600000
sequential,milo,1,21.100000
sequential,milo,2,25.000000
sequential,milo,3,27.700000
sequential,milo,4,30.300000
sequential,milo,5,31.100000
sequential,milo,6,27.000000
sequential,milo,7,27.200000
sequential,milo,8,32.100000
sequential,milo,9,32.400000
sequential,milo,10,35.300000
sequential,milo,11,37.700000
sequential,milo,12,41.000000
sequential,milo,13,44.600000
sequential,milo,14,36.400000
sequential,milo,15,36.400000
sequential,milo,16,42.800000
sequential,milo,17,42.800000
sequential,ryu,1,15.000000
sequential,ryu,2,16.500000
sequential,ryu,3,17.500000
sequential,ryu,4,17.600000
sequential,ryu,5,18.100000
sequential,ryu,6,18.100000
sequential,ryu,7,18.500000
sequential,ryu,8,19.600000
sequential,ryu,9,19.600000
sequential,ryu,10,20.100000
sequential,ryu,11,20.000000
sequential,ryu,12,19.800000
sequential,ryu,13,21.200000
sequential,ryu,14,21.200000
sequential,ryu,15,22.000000
sequential,ryu,16,22.700000
sequential,ryu,17,23.100000
sequential,sprintf,1,220.800000
sequential,sprintf,2,230.000000
sequential,sprintf,3,278.900000
sequential,sprintf,4,315.000000
sequential,sprintf,5,318.200000
sequential,sprintf,6,321.400000
sequential,sprintf,7,357.100000
sequential,sprintf,8,393.800000
sequential,sprintf,9,401.300000
sequential,sprintf,10,403.800000
sequential,sprintf,11,461.200000
sequential,sprintf,12,520.900000
sequential,sprintf,13,502.600000
sequential,sprintf,14,560.100000
sequential,sprintf,15,587.500000
sequential,sprintf,16,651.300000
sequential,sprintf,17,664.600000
