Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,73.600000
randomdigit,doubleconv,2,86.200000
randomdigit,doubleconv,3,91.000000
randomdigit,doubleconv,4,98.400000
randomdigit,doubleconv,5,101.800000
randomdigit,doubleconv,6,105.500000
randomdigit,doubleconv,7,104.500000
randomdigit,doubleconv,8,108.500000
randomdigit,doubleconv,9,106.700000
randomdigit,doubleconv,10,108.600000
randomdigit,doubleconv,11,108.800000
randomdigit,doubleconv,12,114.000000
randomdigit,doubleconv,13,112.400000
randomdigit,doubleconv,14,120.900000
randomdigit,doubleconv,15,119.700000
randomdigit,doubleconv,16,123.700000
randomdigit,doubleconv,17,129.900000
randomdigit,emyg,1,46.200000
randomdigit,emyg,2,52.700000
randomdigit,emyg,3,56.200000
randomdigit,emyg,4,60.800000
randomdigit,emyg,5,62.700000
randomdigit,emyg,6,65.100000
randomdigit,emyg,7,70.500000
randomdigit,emyg,8,71.700000
randomdigit,emyg,9,72.000000
randomdigit,emyg,10,70.500000
randomdigit,emyg,11,71.900000
randomdigit,emyg,12,74.300000
randomdigit,emyg,13,76.500000
randomdigit,emyg,14,78.300000
randomdigit,emyg,15,80.800000
randomdigit,emyg,16,83.200000
randomdigit,emyg,17,86.200000
randomdigit,fpconv,1,105.600000
randomdigit,fpconv,2,117.600000
randomdigit,fpconv,3,127.200000
randomdigit,fpconv,4,134.300000
randomdigit,fpconv,5,141.200000
randomdigit,fpconv,6,146.200000
randomdigit,fpconv,7,150.800000
randomdigit,fpconv,8,153.800000
randomdigit,fpconv,9,153.200000
randomdigit,fpconv,10,154.400000
randomdigit,fpconv,11,155.800000
randomdigit,fpconv,12,157.100000
randomdigit,fpconv,13,159.100000
randomdigit,fpconv,14,160.800000
randomdigit,fpconv,15,161.700000
randomdigit,fpconv,16,164.100000
randomdigit,fpconv,17,172.000000
randomdigit,grisu2,1,111.800000
randomdigit,grisu2,2,123.700000
randomdigit,grisu2,3,120.300000
randomdigit,grisu2,4,121.600000
randomdigit,grisu2,5,121.800000
randomdigit,grisu2,6,124.600000
randomdigit,grisu2,7,126.600000
randomdigit,grisu2,8,128.800000
randomdigit,grisu2,9,130.600000
randomdigit,grisu2,10,132.800000
randomdigit,grisu2,11,134.400000
randomdigit,grisu2,12,136.900000
randomdigit,grisu2,13,137.900000
randomdigit,grisu2,14,140.400000
randomdigit,grisu2,15,142.800000
randomdigit,grisu2,16,145.100000
randomdigit,grisu2,17,151.700000
randomdigit,milo,1,54.700000
randomdigit,milo,2,60.300000
randomdigit,milo,3,63.800000
randomdigit,milo,4,68.100000
randomdigit,milo,5,70.600000
randomdigit,milo,6,72.100000
randomdigit,milo,7,77.100000
randomdigit,milo,8,76.800000
randomdigit,milo,9,77.900000
randomdigit,milo,10,79.400000
randomdigit,milo,11,82.000000
randomdigit,milo,12,85.400000
randomdigit,milo,13,88.500000
randomdigit,milo,14,91.500000
randomdigit,milo,15,94.200000
randomdigit,milo,16,98.100000
randomdigit,milo,17,103.300000
randomdigit,null,1,1.500000
randomdigit,null,2,1.500000
randomdigit,null,3,1.400000
randomdigit,null,4,1.400000
randomdigit,null,5,1.400000
randomdigit,null,6,1.400000
randomdigit,null,7,1.400000
randomdigit,null,8,1.400000
randomdigit,null,9,1.400000
randomdigit,null,10,1.400000
randomdigit,null,11,1.400000
randomdigit,null,12,1.400000
randomdigit,null,13,1.400000
randomdigit,null,14,1.400000
randomdigit,null,15,1.400000
randomdigit,null,16,1.400000
randomdigit,null,17,1.400000
randomdigit,ostringstream,1,1738.400000
randomdigit,ostringstream,2,1764.100000
randomdigit,ostringstream,3,1794.900000
randomdigit,ostringstream,4,1821.500000
randomdigit,ostringstream,5,1826.700000
randomdigit,ostringstream,6,1825.500000
randomdigit,ostringstream,7,1817.200000
randomdigit,ostringstream,8,1824.200000
randomdigit,ostringstream,9,1815.100000
randomdigit,ostringstream,10,1704.400000
randomdigit,ostringstream,11,1792.400000
randomdigit,ostringstream,12,1865.500000
randomdigit,ostringstream,13,1798.000000
randomdigit,ostringstream,14,1778.300000
randomdigit,ostringstream,15,1849.800000
randomdigit,ostringstream,16,1879.400000
randomdigit,ostringstream,17,1798.000000
randomdigit,ostrstream,1,1281.400000
randomdigit,ostrstream,2,1280.800000
randomdigit,ostrstream,3,1311.100000
randomdigit,ostrstream,4,1318.100000
randomdigit,ostrstream,5,1332.400000
randomdigit,ostrstream,6,1346.800000
randomdigit,ostrstream,7,1354.400000
randomdigit,ostrstream,8,1374.900000
randomdigit,ostrstream,9,1346.500000
randomdigit,ostrstream,10,1343.800000
randomdigit,ostrstream,11,1364.100000
randomdigit,ostrstream,12,1383.400000
randomdigit,ostrstream,13,1397.900000
randomdigit,ostrstream,14,1388.800000
randomdigit,ostrstream,15,1404.800000
randomdigit,ostrstream,16,1395.500000
randomdigit,ostrstream,17,1391.800000
randomdigit,sprintf,1,1040.200000
randomdigit,sprintf,2,1043.000000
randomdigit,sprintf,3,1074.000000
randomdigit,sprintf,4,1084.500000
randomdigit,sprintf,5,1098.400000
randomdigit,sprintf,6,1111.600000
randomdigit,sprintf,7,1117.400000
randomdigit,sprintf,8,1136.700000
randomdigit,sprintf,9,1109.200000
randomdigit,sprintf,10,1099.600000
randomdigit,sprintf,11,1125.700000
randomdigit,sprintf,12,1143.800000
randomdigit,sprintf,13,1154.500000
randomdigit,sprintf,14,1149.000000
randomdigit,sprintf,15,1153.400000
randomdigit,sprintf,16,1155.000000
randomdigit,sprintf,17,1146.200000
