Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,62.300000
randomdigit,doubleconv,2,70.400000
randomdigit,doubleconv,3,74.100000
randomdigit,doubleconv,4,80.400000
randomdigit,doubleconv,5,85.700000
randomdigit,doubleconv,6,87.900000
randomdigit,doubleconv,7,89.100000
randomdigit,doubleconv,8,92.200000
randomdigit,doubleconv,9,92.900000
randomdigit,doubleconv,10,95.600000
randomdigit,doubleconv,11,96.500000
randomdigit,doubleconv,12,103.100000
randomdigit,doubleconv,13,101.900000
randomdigit,doubleconv,14,109.600000
randomdigit,doubleconv,15,108.300000
randomdigit,doubleconv,16,111.700000
randomdigit,doubleconv,17,117.900000
randomdigit,fpconv,1,94.200000
randomdigit,fpconv,2,103.300000
randomdigit,fpconv,3,106.900000
randomdigit,fpconv,4,112.600000
randomdigit,fpconv,5,117.800000
randomdigit,fpconv,6,122.100000
randomdigit,fpconv,7,125.900000
randomdigit,fpconv,8,129.400000
randomdigit,fpconv,9,130.400000
randomdigit,fpconv,10,131.000000
randomdigit,fpconv,11,132.200000
randomdigit,fpconv,12,132.800000
randomdigit,fpconv,13,134.400000
randomdigit,fpconv,14,137.700000
randomdigit,fpconv,15,138.000000
randomdigit,fpconv,16,138.700000
randomdigit,fpconv,17,143.000000
randomdigit,grisu2,1,56.900000
randomdigit,grisu2,2,58.500000
randomdigit,grisu2,3,60.900000
randomdigit,grisu2,4,63.300000
randomdigit,grisu2,5,64.500000
randomdigit,grisu2,6,65.700000
randomdigit,grisu2,7,67.400000
randomdigit,grisu2,8,68.800000
randomdigit,grisu2,9,70.900000
randomdigit,grisu2,10,72.500000
randomdigit,grisu2,11,73.200000
randomdigit,grisu2,12,75.700000
randomdigit,grisu2,13,78.800000
randomdigit,grisu2,14,78.900000
randomdigit,grisu2,15,81.300000
randomdigit,grisu2,16,82.800000
randomdigit,grisu2,17,86.000000
randomdigit,milo,1,48.000000
randomdigit,milo,2,53.500000
randomdigit,milo,3,55.800000
randomdigit,milo,4,57.800000
randomdigit,milo,5,61.500000
randomdigit,milo,6,63.200000
randomdigit,milo,7,65.000000
randomdigit,milo,8,66.000000
randomdigit,milo,9,68.800000
randomdigit,milo,10,68.800000
randomdigit,milo,11,70.800000
randomdigit,milo,12,72.700000
randomdigit,milo,13,76.200000
randomdigit,milo,14,76.300000
randomdigit,milo,15,79.000000
randomdigit,milo,16,81.700000
randomdigit,milo,17,86.200000
randomdigit,null,1,1.100000
randomdigit,null,2,1.100000
randomdigit,null,3,1.100000
randomdigit,null,4,1.100000
randomdigit,null,5,1.100000
randomdigit,null,6,1.100000
randomdigit,null,7,1.100000
randomdigit,null,8,1.100000
randomdigit,null,9,1.100000
randomdigit,null,10,1.100000
randomdigit,null,11,1.100000
randomdigit,null,12,1.100000
randomdigit,null,13,1.100000
randomdigit,null,14,1.100000
randomdigit,null,15,1.100000
randomdigit,null,16,1.100000
randomdigit,null,17,1.100000
randomdigit,ostringstream,1,948.000000
randomdigit,ostringstream,2,963.000000
randomdigit,ostringstream,3,991.700000
randomdigit,ostringstream,4,987.400000
randomdigit,ostringstream,5,999.900000
randomdigit,ostringstream,6,1015.500000
randomdigit,ostringstream,7,1030.000000
randomdigit,ostringstream,8,1029.300000
randomdigit,ostringstream,9,1025.100000
randomdigit,ostringstream,10,1043.400000
randomdigit,ostringstream,11,1075.600000
randomdigit,ostringstream,12,1071.300000
randomdigit,ostringstream,13,1084.800000
randomdigit,ostringstream,14,1068.000000
randomdigit,ostringstream,15,1091.200000
randomdigit,ostringstream,16,1088.900000
randomdigit,ostringstream,17,1103.400000
randomdigit,ostrstream,1,905.700000
randomdigit,ostrstream,2,917.300000
randomdigit,ostrstream,3,945.400000
randomdigit,ostrstream,4,943.100000
randomdigit,ostrstream,5,954.900000
randomdigit,ostrstream,6,964.900000
randomdigit,ostrstream,7,980.100000
randomdigit,ostrstream,8,978.700000
randomdigit,ostrstream,9,976.500000
randomdigit,ostrstream,10,988.200000
randomdigit,ostrstream,11,1013.800000
randomdigit,ostrstream,12,1006.200000
randomdigit,ostrstream,13,1017.800000
randomdigit,ostrstream,14,1006.500000
randomdigit,ostrstream,15,1038.900000
randomdigit,ostrstream,16,1019.800000
randomdigit,ostrstream,17,1036.800000
randomdigit,sprintf,1,613.900000
randomdigit,sprintf,2,627.200000
randomdigit,sprintf,3,654.700000
randomdigit,sprintf,4,653.000000
randomdigit,sprintf,5,662.400000
randomdigit,sprintf,6,673.700000
randomdigit,sprintf,7,691.600000
randomdigit,sprintf,8,686.300000
randomdigit,sprintf,9,682.900000
randomdigit,sprintf,10,692.200000
randomdigit,sprintf,11,723.600000
randomdigit,sprintf,12,717.200000
randomdigit,sprintf,13,725.900000
randomdigit,sprintf,14,716.800000
randomdigit,sprintf,15,744.900000
randomdigit,sprintf,16,728.600000
randomdigit,sprintf,17,742.900000
randomdigit,util,1,60.300000
randomdigit,util,2,62.300000
randomdigit,util,3,62.800000
randomdigit,util,4,62.600000
randomdigit,util,5,60.900000
randomdigit,util,6,62.300000
randomdigit,util,7,62.000000
randomdigit,util,8,62.200000
randomdigit,util,9,62.200000
randomdigit,util,10,61.200000
randomdigit,util,11,62.200000
randomdigit,util,12,61.600000
randomdigit,util,13,60.900000
randomdigit,util,14,60.600000
randomdigit,util,15,60.000000
randomdigit,util,16,59.200000
randomdigit,util,17,58.600000
